,Team,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,L,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1
10,Phoenix Suns,38.8,85.8,0.452,8.5,25.0,0.341,30.2,60.9,0.497,16.4,21.5,0.76,10.9,32.2,43.2,20.2,8.5,4.7,15.1,21.3,102.4,50.0,32.0,0.46,3.36,109.5,106.4,95.2,0.262,0.296,0.55,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204
11,Denver Nuggets,37.8,87.3,0.433,8.0,24.8,0.325,29.7,62.5,0.476,17.8,24.3,0.734,12.3,32.4,44.7,21.8,7.8,4.5,14.2,23.0,101.5,45.0,37.0,0.28,2.47,107.8,105.5,95.7,0.284,0.262,0.532,0.492,13.1,28.9,0.214,0.489,12.4,75.6,0.213
12,Boston Celtics*,38.9,87.9,0.443,8.0,24.6,0.327,30.9,63.3,0.488,15.4,20.5,0.754,11.1,32.7,43.8,24.5,8.2,3.6,13.8,21.2,101.4,45.0,37.0,0.34,1.13,108.2,107.3,91.4,0.263,0.233,0.537,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195
13,Sacramento Kings,36.7,80.7,0.455,5.6,16.5,0.341,31.1,64.2,0.484,22.3,29.3,0.762,10.9,33.3,44.2,20.3,6.7,4.0,16.3,20.7,101.3,46.0,36.0,-0.55,0.17,103.7,103.0,93.7,0.259,0.203,0.534,0.499,14.0,24.9,0.192,0.481,12.9,77.3,0.21
14,Chicago Bulls*,36.6,82.9,0.442,7.9,22.3,0.353,28.7,60.6,0.474,19.7,25.2,0.783,11.7,34.0,45.7,21.7,6.3,5.8,14.0,18.2,100.8,41.0,41.0,-0.52,-0.09,102.7,102.2,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221
15,New Orleans Pelicans*,37.9,82.9,0.457,7.1,19.3,0.37,30.8,63.6,0.484,16.4,21.8,0.751,11.5,32.0,43.5,22.0,6.7,6.2,13.3,18.7,99.4,38.0,44.0,-0.51,-0.23,103.5,103.2,93.2,0.266,0.255,0.523,0.484,13.1,24.0,0.201,0.478,12.0,77.9,0.217
16,Washington Wizards*,38.3,82.8,0.462,6.1,16.8,0.36,32.2,66.0,0.488,15.9,21.4,0.742,10.5,34.2,44.7,24.0,7.3,4.6,15.0,20.8,98.5,38.0,44.0,0.49,0.71,105.1,104.9,90.4,0.297,0.274,0.531,0.494,14.6,29.1,0.214,0.491,12.8,76.3,0.199
17,Los Angeles Lakers,37.2,85.6,0.435,6.5,18.9,0.344,30.8,66.8,0.461,17.5,23.6,0.741,11.6,32.3,43.9,20.9,7.0,4.5,13.2,21.2,98.5,40.0,42.0,-0.56,-0.4,104.7,104.5,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.176,0.494,13.7,75.0,0.208
18,Detroit Pistons,37.1,85.8,0.432,8.6,24.9,0.344,28.5,60.9,0.468,15.8,22.4,0.703,12.8,32.1,44.9,21.6,7.6,4.7,13.4,19.0,98.5,39.0,43.0,0.52,-0.38,105.3,106.2,96.3,0.251,0.291,0.537,0.501,13.7,24.5,0.191,0.497,14.0,73.5,0.221
19,Memphis Grizzlies*,37.8,82.5,0.458,5.2,15.2,0.339,32.6,67.3,0.485,17.6,22.8,0.773,10.4,32.1,42.6,21.7,8.5,4.2,13.3,19.1,98.3,32.0,50.0,-0.39,-1.39,105.3,106.4,92.8,0.261,0.29,0.515,0.482,12.3,27.7,0.184,0.502,13.2,75.0,0.192
20,Brooklyn Nets*,37.4,83.0,0.451,6.6,19.9,0.331,30.8,63.1,0.489,16.6,22.2,0.748,10.3,32.0,42.4,20.9,7.0,4.1,13.8,19.3,98.0,37.0,45.0,-0.32,-2.92,103.9,106.7,90.9,0.306,0.262,0.54,0.5,14.5,23.2,0.227,0.505,14.2,73.4,0.213
21,Minnesota Timberwolves,36.4,83.2,0.438,5.0,14.9,0.332,31.5,68.3,0.461,20.0,25.7,0.776,11.6,29.3,40.9,21.6,8.1,4.0,15.0,19.2,97.8,38.0,44.0,-0.25,-3.13,104.4,107.4,92.7,0.267,0.24,0.529,0.491,13.0,23.9,0.2,0.506,12.9,73.7,0.185
22,Milwaukee Bucks*,37.6,82.0,0.459,6.6,18.3,0.363,31.0,63.7,0.486,16.0,21.1,0.757,10.7,31.4,42.1,23.6,9.6,4.9,16.7,22.1,97.8,33.0,49.0,-0.27,-3.44,100.1,103.5,93.0,0.269,0.226,0.498,0.456,11.2,22.1,0.202,0.487,12.0,79.3,0.188
23,Indiana Pacers,36.6,83.2,0.439,7.5,21.2,0.352,29.1,62.0,0.469,16.7,22.2,0.756,10.4,34.4,44.9,21.4,6.2,4.6,14.0,21.2,97.3,30.0,52.0,0.48,-3.07,104.5,108.2,96.1,0.278,0.284,0.518,0.479,12.7,26.6,0.204,0.504,13.0,74.7,0.239
24,Orlando Magic,37.5,82.8,0.453,6.8,19.5,0.347,30.8,63.3,0.486,13.9,19.1,0.729,10.0,31.8,41.8,20.6,7.9,3.8,14.9,20.9,95.7,29.0,53.0,0.64,-3.07,105.3,109.2,95.4,0.363,0.204,0.542,0.49,14.8,26.5,0.276,0.507,11.8,75.2,0.2
25,Utah Jazz,35.4,79.2,0.447,7.4,21.7,0.343,27.9,57.5,0.486,17.0,23.5,0.721,12.0,31.9,44.0,19.9,7.6,6.0,15.3,19.3,95.1,25.0,57.0,-0.15,-5.87,101.6,107.7,93.8,0.23,0.235,0.524,0.494,14.0,23.1,0.168,0.514,13.6,76.0,0.21
26,Miami Heat,35.2,77.2,0.456,6.8,20.2,0.335,28.4,57.0,0.499,17.5,23.7,0.741,9.1,30.0,39.1,19.8,7.8,4.5,14.8,20.0,94.7,21.0,61.0,0.67,-6.17,103.4,110.6,94.0,0.276,0.22,0.513,0.473,12.1,25.4,0.204,0.518,12.1,76.3,0.231
27,Charlotte Hornets,35.5,84.5,0.42,6.1,19.1,0.318,29.5,65.4,0.45,17.0,22.8,0.748,10.0,34.1,44.1,20.2,6.1,5.5,11.9,18.2,94.2,16.0,66.0,0.79,-8.0,102.9,112.2,94.4,0.309,0.179,0.517,0.468,13.7,26.6,0.24,0.537,13.9,71.6,0.187
28,Philadelphia 76ers,33.7,82.6,0.408,8.4,26.3,0.32,25.3,56.3,0.449,16.1,23.8,0.676,11.9,30.9,42.9,20.5,9.6,5.9,17.7,21.7,92.0,18.0,64.0,-0.07,-9.04,95.5,104.8,95.7,0.288,0.319,0.494,0.459,16.0,25.5,0.195,0.497,15.2,73.0,0.225
29,New York Knicks,35.1,82.0,0.428,6.8,19.7,0.347,28.3,62.3,0.454,14.8,19.2,0.769,10.6,29.8,40.4,21.3,7.0,4.7,14.7,21.6,91.9,17.0,65.0,-0.18,-9.5,99.9,110.0,91.2,0.234,0.24,0.508,0.47,14.0,24.5,0.18,0.512,13.3,73.1,0.234
30,League Average,37.5,83.6,0.449,7.8,22.4,0.35,29.7,61.2,0.485,17.1,22.8,0.75,10.9,32.4,43.3,22.0,7.7,4.8,14.4,20.2,100.0,,,0.0,0.0,105.6,105.6,93.9,0.273,0.268,0.534,0.496,13.3,25.1,0.205,0.496,13.3,74.9,0.205
